book_id,author,translator,publisher
14742,معصومه درویشی,,انتشارات پشتیبان
14743,اصغر قمی اویلی,,انتشارات پشتیبان
14744,سیدمحمد میرسمیعی,,انتشارات پشتیبان
14745,بئاتریکس پاتر,سیدسینا علوی,انتشارات پشتیبان
14746,علی مهدی زاده,,انتشارات پشتیبان
47511,جیمز دین,,راوی گنبد کبود
47517,,,بازی‌ نما
47523,جان مکسول,بشیر باقی,کتاب‌های صوتی کتابسرای نیک
47524,ویلیام پل یانگ,فرشته جاوید حسینی,نشر روزگار
47525,رکسان گی,میعاد بانکی,کتاب کوله پشتی
47527,دارن هاردی,فرخنده بافنده,کتاب‌های صوتی کتابسرای نیک
14764,,,روزنامه آرمان ملی
14765,ویلیو ویلسون,,کمیک‌دونی
14766,ویلیو ویلسون,,کمیک‌دونی
14769,کنت بلانچارد,صالح سپهری‌فر,انتشارات دنیای اقتصاد تابان
14770,سمیرا وارسته,,انتشارات آرنا
14771,صادق چوبک,,انتشارات نگاه
14772,کنوت هامسون,احمد گلشیری,انتشارات نگاه
14773,اصغر استاد حسن معمار,,سیب سرخ نیکان
14774,,,مجله همه راز موفقیت
14775,فهیمه ارژنگی,,بهار سبز
14776,مهدی کاردان,,نشر گل‌واژه
47546,جف کینی,فرخنده بافنده,نیکو نشر
14780,,,هفته‌نامه امرداد
47549,خشایار فخریان,,انتشارات اندیشه‌ عالم
14784,,,ماهنامه خیمه
14785,سید نوید سید علی اکبر,,انتشارات هوپا
14786,فرانسوا موریاک,داوود  نوابی,نشر نون
47553,سعیده زراعت‌کار,,نشر ستاره‌ها
47555,عبداللطیف طسوجی,,کتاب‌های صوتی کتابسرای نیک
14789,جومپا لاهیری,معصومه  عسکری,کتاب کوله پشتی
14790,دونالد ترامپ,رامین بختیاری,انتشارات نسل نواندیش
14792,,,دوهفته نامه تندیس
14793,,,ماهنامه طنز و کارتون خط خطی
47561,مرتضی برزگر,,نشر چشمه
47563,فریبا وفی,,نشر چشمه
14796,,,روزنامه ایران
47565,املی نوتومب,بنفشه فریس‌آبادی,نشر چشمه
47566,هاروکی موراکامی,بهرنگ  رجبی,نشر چشمه
47567,آیت دولتشاه,,نشر چشمه
47569,کارمک مک کارتی,امیر  احمدی ‌آریان,نشر چشمه
14803,,,روزنامه کیهان
47572,ویلیام شکسپیر,علیرضا مهدی‌پور,نشر چشمه
47574,جنیفر کلمنت,میچکا سرمدی,نشر چشمه
47578,خوآن گابریل واسکس,ونداد جلیلی,نشر چشمه
47579,امیرحسین شربیانی,,نشر چشمه
14812,,,روزنامه صبح نو
47581,یاسوناری کاواباتا,مهدیه عباس‌پور,نشر چشمه
14814,,,مجله صنایع هوافضا
47582,داریوش رمضانی,,نشر چشمه
47583,ساموئل بکت,,نشر چشمه
14818,حسین الهی قمشه‌ای,,انتشارات صابرین
47586,علی‌اکبر صلاحی,,انتشارات آذرفر
